[Sun Apr 16 18:56:47 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:56:47 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:56:47 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:56:49 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:56:49 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:56:50 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:56:50 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 20.000000 km/h
[Sun Apr 16 18:56:50 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 20.000000 km/h
[Sun Apr 16 18:56:50 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:56:51 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:56:51 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:56:51 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:56:51 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 20.000000 km/h
[Sun Apr 16 18:56:51 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:56:51 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:56:53 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:56:54 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 20.000000 km/h
[Sun Apr 16 18:56:54 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:56:54 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:56:55 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:56:55 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:56:55 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 20.000000 km/h
[Sun Apr 16 18:56:55 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 20.000000 km/h
[Sun Apr 16 18:56:55 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:56:55 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:56:56 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:56:56 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:56:57 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:56:57 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:56:58 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:56:59 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:56:59 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 20.000000 km/h
[Sun Apr 16 18:57:00 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:00 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:00 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:00 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:01 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:03 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:03 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:03 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:04 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:05 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:06 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:06 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:06 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:07 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:07 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:08 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:09 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:09 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:09 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:10 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:10 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 20.000000 km/h
[Sun Apr 16 18:57:11 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:11 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 30.000000 km/h
[Sun Apr 16 18:57:12 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 20.000000 km/h
[Sun Apr 16 18:57:12 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:12 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:12 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:12 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:13 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:15 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:15 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:15 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:16 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:16 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 20.000000 km/h
[Sun Apr 16 18:57:16 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 20.000000 km/h
[Sun Apr 16 18:57:17 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 30.000000 km/h
[Sun Apr 16 18:57:17 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 30.000000 km/h
[Sun Apr 16 18:57:18 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 20.000000 km/h
[Sun Apr 16 18:57:18 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 20.000000 km/h
[Sun Apr 16 18:57:18 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:18 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:18 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:19 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:21 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:21 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:21 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:22 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:22 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 20.000000 km/h
[Sun Apr 16 18:57:22 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 20.000000 km/h
[Sun Apr 16 18:57:23 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 30.000000 km/h
[Sun Apr 16 18:57:23 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 30.000000 km/h
[Sun Apr 16 18:57:24 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 20.000000 km/h
[Sun Apr 16 18:57:24 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 20.000000 km/h
[Sun Apr 16 18:57:24 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:24 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:24 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:24 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:25 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:25 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 20.000000 km/h
[Sun Apr 16 18:57:26 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 30.000000 km/h
[Sun Apr 16 18:57:27 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 20.000000 km/h
[Sun Apr 16 18:57:27 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:27 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:28 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:28 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:28 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:28 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 20.000000 km/h
[Sun Apr 16 18:57:29 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 30.000000 km/h
[Sun Apr 16 18:57:30 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 20.000000 km/h
[Sun Apr 16 18:57:30 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:33 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:33 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:34 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:35 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:36 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:36 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:36 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:36 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:36 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:37 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:38 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:39 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:39 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:39 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:39 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:39 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:39 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:39 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:39 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:39 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
